Date,Year,Month,Day
2011-01-04,2011,1,4
2011-01-05,2011,1,5
2011-01-06,2011,1,6
2011-01-07,2011,1,7
2011-01-09,2011,1,9
2011-01-10,2011,1,10
2011-01-11,2011,1,11
2011-01-12,2011,1,12
2011-01-13,2011,1,13
2011-01-14,2011,1,14
2011-01-16,2011,1,16
2011-01-17,2011,1,17
2011-01-18,2011,1,18
2011-01-19,2011,1,19
2011-01-20,2011,1,20
2011-01-21,2011,1,21
2011-01-23,2011,1,23
2011-01-24,2011,1,24
2011-01-25,2011,1,25
2011-01-26,2011,1,26
2011-01-27,2011,1,27
2011-01-28,2011,1,28
2011-01-30,2011,1,30
2011-01-31,2011,1,31
2011-02-01,2011,2,1
2011-02-02,2011,2,2
2011-02-03,2011,2,3
2011-02-04,2011,2,4
2011-02-06,2011,2,6
2011-02-07,2011,2,7
2011-02-08,2011,2,8
2011-02-09,2011,2,9
2011-02-10,2011,2,10
2011-02-11,2011,2,11
2011-02-13,2011,2,13
2011-02-14,2011,2,14
2011-02-15,2011,2,15
2011-02-16,2011,2,16
2011-02-17,2011,2,17
2011-02-18,2011,2,18
2011-02-20,2011,2,20
2011-02-21,2011,2,21
2011-02-22,2011,2,22
2011-02-23,2011,2,23
2011-02-24,2011,2,24
2011-02-25,2011,2,25
2011-02-27,2011,2,27
2011-02-28,2011,2,28
2011-03-01,2011,3,1
2011-03-02,2011,3,2
2011-03-03,2011,3,3
2011-03-04,2011,3,4
2011-03-06,2011,3,6
2011-03-07,2011,3,7
2011-03-08,2011,3,8
2011-03-09,2011,3,9
2011-03-10,2011,3,10
2011-03-11,2011,3,11
2011-03-13,2011,3,13
2011-03-14,2011,3,14
2011-03-15,2011,3,15
2011-03-16,2011,3,16
2011-03-17,2011,3,17
2011-03-18,2011,3,18
2011-03-20,2011,3,20
2011-03-21,2011,3,21
2011-03-22,2011,3,22
2011-03-23,2011,3,23
2011-03-24,2011,3,24
2011-03-25,2011,3,25
2011-03-27,2011,3,27
2011-03-28,2011,3,28
2011-03-29,2011,3,29
2011-03-30,2011,3,30
2011-03-31,2011,3,31
2011-04-01,2011,4,1
2011-04-03,2011,4,3
2011-04-04,2011,4,4
2011-04-05,2011,4,5
2011-04-06,2011,4,6
2011-04-07,2011,4,7
2011-04-08,2011,4,8
2011-04-10,2011,4,10
2011-04-11,2011,4,11
2011-04-12,2011,4,12
2011-04-13,2011,4,13
2011-04-14,2011,4,14
2011-04-15,2011,4,15
2011-04-17,2011,4,17
2011-04-18,2011,4,18
2011-04-19,2011,4,19
2011-04-20,2011,4,20
2011-04-21,2011,4,21
2011-04-26,2011,4,26
2011-04-27,2011,4,27
2011-04-28,2011,4,28
2011-05-01,2011,5,1
2011-05-03,2011,5,3
2011-05-04,2011,5,4
2011-05-05,2011,5,5
2011-05-06,2011,5,6
2011-05-08,2011,5,8
2011-05-09,2011,5,9
2011-05-10,2011,5,10
2011-05-11,2011,5,11
2011-05-12,2011,5,12
2011-05-13,2011,5,13
2011-05-15,2011,5,15
2011-05-16,2011,5,16
2011-05-17,2011,5,17
2011-05-18,2011,5,18
2011-05-19,2011,5,19
2011-05-20,2011,5,20
2011-05-22,2011,5,22
2011-05-23,2011,5,23
2011-05-24,2011,5,24
2011-05-25,2011,5,25
2011-05-26,2011,5,26
2011-05-27,2011,5,27
2011-05-29,2011,5,29
2011-05-31,2011,5,31
2011-06-01,2011,6,1
2011-06-02,2011,6,2
2011-06-03,2011,6,3
2011-06-05,2011,6,5
2011-06-06,2011,6,6
2011-06-07,2011,6,7
2011-06-08,2011,6,8
2011-06-09,2011,6,9
2011-06-10,2011,6,10
2011-06-12,2011,6,12
2011-06-13,2011,6,13
2011-06-14,2011,6,14
2011-06-15,2011,6,15
2011-06-16,2011,6,16
2011-06-17,2011,6,17
2011-06-19,2011,6,19
2011-06-20,2011,6,20
2011-06-21,2011,6,21
2011-06-22,2011,6,22
2011-06-23,2011,6,23
2011-06-24,2011,6,24
2011-06-26,2011,6,26
2011-06-27,2011,6,27
2011-06-28,2011,6,28
2011-06-29,2011,6,29
2011-06-30,2011,6,30
2011-07-01,2011,7,1
2011-07-03,2011,7,3
2011-07-04,2011,7,4
2011-07-05,2011,7,5
2011-07-06,2011,7,6
2011-07-07,2011,7,7
2011-07-08,2011,7,8
2011-07-10,2011,7,10
2011-07-11,2011,7,11
2011-07-12,2011,7,12
2011-07-13,2011,7,13
2011-07-14,2011,7,14
2011-07-15,2011,7,15
2011-07-17,2011,7,17
2011-07-18,2011,7,18
2011-07-19,2011,7,19
2011-07-20,2011,7,20
2011-07-21,2011,7,21
2011-07-22,2011,7,22
2011-07-24,2011,7,24
2011-07-25,2011,7,25
2011-07-26,2011,7,26
2011-07-27,2011,7,27
2011-07-28,2011,7,28
2011-07-29,2011,7,29
2011-07-31,2011,7,31
2011-08-01,2011,8,1
2011-08-02,2011,8,2
2011-08-03,2011,8,3
2011-08-04,2011,8,4
2011-08-05,2011,8,5
2011-08-07,2011,8,7
2011-08-08,2011,8,8
2011-08-09,2011,8,9
2011-08-10,2011,8,10
2011-08-11,2011,8,11
2011-08-12,2011,8,12
2011-08-14,2011,8,14
2011-08-15,2011,8,15
2011-08-16,2011,8,16
2011-08-17,2011,8,17
2011-08-18,2011,8,18
2011-08-19,2011,8,19
2011-08-21,2011,8,21
2011-08-22,2011,8,22
2011-08-23,2011,8,23
2011-08-24,2011,8,24
2011-08-25,2011,8,25
2011-08-26,2011,8,26
2011-08-28,2011,8,28
2011-08-30,2011,8,30
2011-08-31,2011,8,31
2011-09-01,2011,9,1
2011-09-02,2011,9,2
2011-09-04,2011,9,4
2011-09-05,2011,9,5
2011-09-06,2011,9,6
2011-09-07,2011,9,7
2011-09-08,2011,9,8
2011-09-09,2011,9,9
2011-09-11,2011,9,11
2011-09-12,2011,9,12
2011-09-13,2011,9,13
2011-09-14,2011,9,14
2011-09-15,2011,9,15
2011-09-16,2011,9,16
2011-09-18,2011,9,18
2011-09-19,2011,9,19
2011-09-20,2011,9,20
2011-09-21,2011,9,21
2011-09-22,2011,9,22
2011-09-23,2011,9,23
2011-09-25,2011,9,25
2011-09-26,2011,9,26
2011-09-27,2011,9,27
2011-09-28,2011,9,28
2011-09-29,2011,9,29
2011-09-30,2011,9,30
2011-10-02,2011,10,2
2011-10-03,2011,10,3
2011-10-04,2011,10,4
2011-10-05,2011,10,5
2011-10-06,2011,10,6
2011-10-07,2011,10,7
2011-10-09,2011,10,9
2011-10-10,2011,10,10
2011-10-11,2011,10,11
2011-10-12,2011,10,12
2011-10-13,2011,10,13
2011-10-14,2011,10,14
2011-10-16,2011,10,16
2011-10-17,2011,10,17
2011-10-18,2011,10,18
2011-10-19,2011,10,19
2011-10-20,2011,10,20
2011-10-21,2011,10,21
2011-10-23,2011,10,23
2011-10-24,2011,10,24
2011-10-25,2011,10,25
2011-10-26,2011,10,26
2011-10-27,2011,10,27
2011-10-28,2011,10,28
2011-10-30,2011,10,30
2011-10-31,2011,10,31
2011-11-01,2011,11,1
2011-11-02,2011,11,2
2011-11-03,2011,11,3
2011-11-04,2011,11,4
2011-11-06,2011,11,6
2011-11-07,2011,11,7
2011-11-08,2011,11,8
2011-11-09,2011,11,9
2011-11-10,2011,11,10
2011-11-11,2011,11,11
2011-11-13,2011,11,13
2011-11-14,2011,11,14
2011-11-15,2011,11,15
2011-11-16,2011,11,16
2011-11-17,2011,11,17
2011-11-18,2011,11,18
2011-11-20,2011,11,20
2011-11-21,2011,11,21
2011-11-22,2011,11,22
2011-11-23,2011,11,23
2011-11-24,2011,11,24
2011-11-25,2011,11,25
2011-11-27,2011,11,27
2011-11-28,2011,11,28
2011-11-29,2011,11,29
2011-11-30,2011,11,30
2011-12-01,2011,12,1
2011-12-02,2011,12,2
2011-12-04,2011,12,4
2011-12-05,2011,12,5
2011-12-06,2011,12,6
2011-12-07,2011,12,7
2011-12-08,2011,12,8
2011-12-09,2011,12,9
